GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restExemple,com.fourcamp.linkbank,RestServiceApplication,5,3,0,0,2,1,1,1,1,1
restExemple,com.fourcamp.linkbank.service,TransactionService,175,3,0,0,35,1,4,1,4,1
restExemple,com.fourcamp.linkbank.service,CardService,867,34,66,2,207,8,50,2,16,2
restExemple,com.fourcamp.linkbank.service,AccountService,848,3,38,0,221,1,41,1,22,1
restExemple,com.fourcamp.linkbank.service,RegisterService,181,3,12,0,44,1,9,1,3,1
restExemple,com.fourcamp.linkbank.service,ExtractService,130,3,0,0,36,1,6,1,6,1
restExemple,com.fourcamp.linkbank.service,ScheduleService,69,3,4,0,16,1,5,1,3,1
restExemple,com.fourcamp.linkbank.enums,ExtractTypeEnum,123,0,2,0,18,0,6,0,5,0
restExemple,com.fourcamp.linkbank.enums,ExtractEnum,68,0,2,0,13,0,6,0,5,0
restExemple,com.fourcamp.linkbank.enums,TypeClientEnum,79,0,2,0,14,0,6,0,5,0
restExemple,com.fourcamp.linkbank.enums,TypeInsuranceEnum,79,0,2,0,14,0,6,0,5,0
restExemple,com.fourcamp.linkbank.controller,RegisterController,77,3,26,0,10,1,15,1,2,1
restExemple,com.fourcamp.linkbank.controller,LoginController,52,3,8,0,10,1,6,1,2,1
restExemple,com.fourcamp.linkbank.controller,ControllerAdvice,48,3,0,0,4,1,4,1,4,1
restExemple,com.fourcamp.linkbank.controller,CardController,321,3,40,0,69,1,32,1,12,1
restExemple,com.fourcamp.linkbank.controller,AccountController,542,7,76,0,99,2,55,2,17,2
restExemple,com.fourcamp.linkbank.exceptions,AlreadyExistsException,4,0,0,0,2,0,1,0,1,0
restExemple,com.fourcamp.linkbank.exceptions,InvalidInputException,4,0,0,0,2,0,1,0,1,0
restExemple,com.fourcamp.linkbank.exceptions,AccountNotFoundException,4,0,0,0,2,0,1,0,1,0
restExemple,com.fourcamp.linkbank.exceptions,CardNotFoundException,4,0,0,0,2,0,1,0,1,0
restExemple,com.fourcamp.linkbank.utils,Validations,39,0,6,0,11,0,6,0,3,0
